"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"body_university","numeric",2163,0,2,0.0933888118354138,0,0,NA,0.291043816704667,NA,0,1,1,2.79286609099547,26.5322221908198,5.80278439157136,27.5759188549199,NA,NA
"body_foreign","numeric",2163,0,2,0.119278779472954,0,0,NA,0.324191212303865,NA,0,1,1,2.34765897856489,22.3027555271564,3.51312751285951,16.6950402917463,NA,NA
"body_award","numeric",2163,0,2,0.0753582986592695,0,0,NA,0.264029647263185,NA,0,1,1,3.21513424744342,30.5437688192483,8.34094506302342,39.6377340101367,NA,NA
"body_none","numeric",2163,0,2,0.137309292649098,0,0,NA,0.344253163466264,NA,0,1,1,2.10614202771197,20.0083449846893,2.43696154014989,11.5808979188241,NA,NA
"rol_supervisor","integer",914,0.577438742487286,5,3.03063457330416,3,3,NA,0.972312332879591,NA,1,4,3,-0.596732095810976,-3.68856910181312,-0.771365149907106,-2.3865995418103,NA,NA
"rol_head","integer",915,0.576976421636616,5,2.59234972677596,3,3,NA,0.964890470132064,NA,1,4,3,-0.0612549936291934,-0.37884076025291,-0.973575672436361,-3.01387625007825,NA,NA
"rol_dean","integer",915,0.576976421636616,5,1.95409836065574,2,2,NA,0.917894157280055,NA,1,4,3,0.692649379248788,4.28379470597576,-0.376129839090936,-1.16437665923295,NA,NA
"rol_colleagues","integer",914,0.577438742487286,5,2.96061269146608,3,3,NA,0.768051871146694,NA,1,4,3,-0.309829823377643,-1.91514537487355,-0.400579773910268,-1.23939162274553,NA,NA
"rol_nwo","integer",914,0.577438742487286,5,2.59628008752735,3,3,NA,1.04448027727383,NA,1,4,3,-0.146435799604144,-0.905160908238194,-1.16106719336139,-3.59233552620439,NA,NA
"rol_ocw","integer",910,0.579288025889968,5,2.01758241758242,2,2,NA,0.957696333749544,NA,1,4,3,0.595523813099114,3.67306298072803,-0.639524411897212,-1.97437405185194,NA,NA
"rol_mentor","integer",914,0.577438742487286,5,2.79978118161926,3,3,NA,1.0277422144704,NA,1,4,3,-0.391468791385382,-2.41977882263206,-0.998963866166678,-3.09078872122438,NA,NA
"carreer_success","integer",784,0.637540453074434,3,1.8609693877551,2,2,NA,0.346199329972182,NA,1,2,1,-2.08266704413684,-11.9261668988594,2.3404922171429,6.70975330062439,NA,NA
"need_no","numeric",2163,0,2,0.0545538603791031,0,0,NA,0.22715984061735,NA,0,1,1,3.92006086439113,37.2405702482108,13.3730604663447,63.5512894115986,NA,NA
"need_security","numeric",2163,0,2,0.0711974110032362,0,0,NA,0.257213775526834,NA,0,1,1,3.33267021753533,31.66036029635,9.11090358066368,43.2967211741165,NA,NA
"need_team","numeric",2163,0,2,0.134073046694406,0,0,NA,0.340809571387614,NA,0,1,1,2.14640554932814,20.3908483582485,2.60826327780687,12.3949558776546,NA,NA
"need_freedom","numeric",2163,0,2,0.120203421174295,0,0,NA,0.325274459286817,NA,0,1,1,2.33415800171118,22.174496274473,3.44988917377277,16.3945198537116,NA,NA
"need_equipment","numeric",2163,0,2,0.0374479889042996,0,0,NA,0.189900788278714,NA,0,1,1,4.86926007887747,46.2579608575567,21.7197358436243,103.216254948926,NA,NA
"award_fair","integer",918,0.575589459084605,6,2.65141612200436,3,3,NA,1.01485861784871,NA,1,5,4,0.179824043595259,1.11396472212999,-0.824511244447466,-2.55657913087818,NA,NA
